review	length of text	sentiment
The plot of GOODNIGHT MR TOM on paper makes it seem we are in for a large dose of maudlin,sickly sentiment.But,talented director Jack Gold is an expert on touching the emotions in the right manner,and it emerges instead as a compelling,deeply moving wartime drama with excellent production and lead performances.One of the best,if not the best TV movies of the 1990's which possibly would've had even greater success if it had been released in the cinemas.<br /><br />The evacuation of children to countryside towns and villages in World War II was of course a common practice,but in the case of the young boy here was doubly important because of a wretched home life in the UK's capital.The horrors of war on the home front are not drifted over though,and the construction of the film until it's throat-lumping,misty-eyed ending leaves us with a sense of optimism despite what has happened before.It is almost(but not quite)worthy of comparison with the finale to IT'S A WONDERFUL LIFE(1946).All in all,a modern classic.	1021	positive
"I probably give this more credit than it deserves because it's Halloween, I was just at ""Knott's Scary Farm"" and I was in a mood to watch a really cheesy Halloween movie.<br /><br />Oh, and it only cost me one dollar.<br /><br />Usually I'll ffwd through a movie like this to get to ""the good stuff,"" but I resisted the urge here and I'm still not sure why. It was obvious from the opening shots this wasn't a ""real"" movie, not even a B-movie. It's more in the category of the DeCoteau ""horror"" movies like ""The Brotherhood"" that are shot on film-look video for about 50 cents (in fact, I was half afraid any minute one of his beefy college boys would stagger out rubbing himself in his underpants or something). There were no cutaway shots (too expensive to do multiple camera setups) and flat lighting but...it's hard to pinpoint. There's something refreshing about watching a director with no money pull off a half-decent movie. The fact that he's doing even a half-decent job is commendable, and this movie has it's share of merits--the acting isn't bad, the photography is pretty good (if too bright to be scary), there are some surprises, and the whole thing is sort of...different somehow.<br /><br />A bunch of college kids are (for some unknown reason) stuck in the warehouse where they are decorating the annual haunted house. A creepy old man gives them a satanic book and they accidentally summon up the powers of hell. This results in the costumed people in the haunted house becoming who they are made up to be, and causing a lot of mayhem and human suffering. Along the way we are treated to an oddly complex and thoughtful lesbian relationship subplot--it's interesting that this couple seems to be the most well-rounded in the movie. Yes, there's a sex scene but it isn't salacious--or at least no more so than you'd find in any legit movie about lesbians that shows them having sex. It's rather unusual for a horror film to take the time and effort to do this without resorting to cheap exploitation. <br /><br />The other thing about this that held my interest was how it was clearly trying to emulate the ""stupid kids have sex and get killed"" vibe of the 80's slashers. It's hard to take that on because there are so many of those films that already exist, the genre has been done to death. I'm not sure if it's good or bad that these filmmakers simply tried to make another entry in that genre, without irony, as if it was still a LIVING genre, but I appreciated the attempt.<br /><br />Which is why I sat through it; sometimes you just want to watch a mindless, no-budget, ""A-for-effort"" horror film. There really was too much set up, not enough gore, endless plot-holes, dead-ends and clichés and the unfortunate overall feel of a movie that simply did not have enough money behind it to be the film the producers envisioned...but at the very least the haunted house scenes were pretty cool. I'd pay to go to that haunted house if it existed, and didn't mind paying a dollar to see it on DVD even if I'll never watch this again.<br /><br />Oh, and **possible spoiler**, but there was great, brief business with the vampire girl in the coffin: ""I used to be claustrophobic. But I've changed."" Ha ha, good one."	3232	negative
My first review at IMDB, after a few years of using this site constantly...<br /><br />Anyways, saw this on the tube the other night, loved it. It's in the mindset of a Dangerous Minds or a Substitute, but much better. Was sure for a moment that Rex was Speedy Levitch, in Waking Life, but after checking, it doesn't seem so.<br /><br />I can see why many have problems with this plot and its poetry, but I also think these people are close-minded. Admittedly the ending wasn't quite what I was hoping for, but overall it was so unique and well-acted, I can't complain. I wouldn't call this cheesy, as one reviewer did, it pulled off the scene better than most films of the 80's did. And they refrained from playing any really dateable 80's music.<br /><br />Can't remember everything that made me smile when I saw this, but basically it realistically showed very creative individuals surrounded by mediocrity, and whether I share Rex's beliefs or not, I love original attempts to describe the meaning of life. And his Mutant theory is, to my knowledge, original. He rambled a lot as well, but they showed how confused he was at times, and why he might have some psychological issues. And then in his moments of clarity he was a philosopher extraordinaire, a person who noticed the little details in life and tried to give expression to them.<br /><br />Also I was very impressed with John Savage as the teacher. Usually actors fail at that role. He pulled it off brilliantly.<br /><br />If you enjoyed Waking Life, I say watch this movie if you get a chance.<br /><br />9.5/10<br /><br />pk	1591	positive
I had to write a review of this film after reading another comment saying that this is Sidney Poitier's best movie. Poitier had just returned from over a decade's break in film acting and he is clearly creaky here. 11 of his films are mentioned in Wikipedia and they don't include this. 5 of his films are on the AFI's list of top 100 inspiring movies, again, not including this. Berenger and Poitier, rube and city slicker set out to hunt down a dangerous psychopath before he crosses the border to Canada. Some of the attempts at comedy in this film clearly fail and Berenger and Poitier's bonding was cringeworthy and awkward (not helped by a completely bland script). Kirstie Alley (as the hostage) was underused, and almost entirely ignored when she was on screen. Some attempt at suspense is made, for example when you're meant to try and guess which of 5 men on a fishing trip is the murderer (all of them are type-cast villains). I understand that this is the entire appeal to most fans out there. I guessed who it was and I wasn't really trying hard.<br /><br />If you're a Berenger fan, watch the Sniper (1993), you even get to see Billy Zane strutting his stuff. It's much better. All in all I'd give Shoot to Kill 3/10. It's not daring, and it's just too straightforward for me.	1290	negative
"My 10/10 rating is merely for the fun factor and assumes that you decided that you liked ""Slaughter High"" even before watching it. Yes, it's the typical revenge-several-years-after-a-dirty-prank story, but how can you not like some of the stuff that they pull here?! I couldn't have predicted that bathtub scene in a million years.<br /><br />OK, so maybe we could be cynical and say that this movie offers nothing new. Well, it doesn't pretend to. It's the sort of flick that the characters in ""Scream"" probably watched, and it contributed to their rules about how to survive a horror movie. After all, who doesn't like to watch people suffer for doing these things? Obviously, it's got sort of a reactionary undertone, as people get punished for doing what the '60s championed. But still, you gotta love this stuff! So, with apologies to Don McLean, this jester didn't sing for the king and queen!"	899	positive
I saw this movie with hopes of a good laugh but when I watched it I didn't stop laughing for weeks, they are such bad actors and it made this movie so much funnier to watch. ( BTW Ryan Dunn didn't eat the toy car, he shoved it up his ass) The random appearances from the skaters and Vitos parts were great. Gimme some grapes Vito.! No Valo, your grapes are at the store. I wouldn't recommend any one under 13 to watch it, frankly they wouldn't understand half of the jokes in or what they are talking about. I love VLB and after watching this movie I couldn't help but go buy it or the Viva La Bam series. What is the deal with this stupid comment thing? It has to be 10 lines what kind of Bull-sh1t is that? I should be able to write one as long or in this case as short as I want. I'm just going to keep typing until it tells me I can actually send it. Its just a waste of time, I expected to just say what I wanted, it wasn't too much but then I'm told I have to keep putting more in and then it corrects my spelling, so what if I didn't spell something right, you get what I mean still. This is ridiculously long.<br /><br />~Those who live by the Sword get shot by those who don't~	1186	positive
"Although too young to remember the first showing of the series (being just a baby) I later caught repeats of it on television in the late 80's, just when I was getting interested in the war and all of its aspects. It was my grandfather who first showed me the series and also gave me my first interests, relating tales of his time in the Royal Navy at Malta and later in the Pacific. Since then I have devoured many books and seen many television series about the World War Two era, with mixed opinions. The British television stations are generally very good at producing these, as The World At War can easily attest, with many gems made by both the BBC and independent companies. I strongly recommend such titles as ""The Nazis - A warning From History"", ""Blitz"" and the BBC series about Dunkirk. ""Britain At War In Colour"", with its companion series ""Japan"", ""Germany"" and ""America"" are of a very high standard. The World At War is by far the best and, despite its age, never fails to deliver. There will always be new revelations about the war that will keep cropping up that obviously aren't included in the series and of course World War Two took place over such a large canvas that to produce a series with EVERY detail would take more time and money then any other, even if such an undertaking was even possible. What I feel I must say to those who decry that it does not include everything is that The World At War can't physically do that as a series but it sure as heck can prompt you to do further research - and make it enjoyable. That certainly worked for me: I now have a very comprehensive library of books, videos, DVDs and tapes and CDs. Recommend to anyone with even a passing interest. The series was so well made that they'd find it hard not to agree that it is quality programming and highly informative."	1825	positive
"Watching a videotaped replay of about 8 various 1994-1997 Spider-man cartoons made me realize why I couldn't stomach it when it first came out.<br /><br />I'm from the old school, where the 1967 Spider-man cartoon was the best and still remains the best. (I won't get into the psychedelic version which is terrible - give me traditional villains please.)<br /><br />The acting in the new stuff is lousy, read off a sheet with either no feeling or overacting. Paul Soles, where are you now? This guy was the best at voice acting for Spider-man. No one comes close. Watching Secret Wars, a great idea for a cartoon mini-series, made me wince. Dr. Doom sounds like a comedy version of Bela Lugosi. In a scene with Red Skull and Doc Ock, Red Skull has no German accent while Ock is heavy Russian! The old Marvel comic hero series from 1966 had much better voice acting. Iron Man sounded like he was wearing an iron mask, Captain America sounded authoritative not like some teenage kid. Paul Frees as the Thing in the 60s was the best Thing ever. The old voice actors were pioneers and there will never be anyone like them. Ever hear Mel Blanc's son? No way can he replicate his dad.<br /><br />The animation is clunky. Okay, so they have all the fancy character shadings and nicely painted backrounds. Sometimes you can say more with less movement if more movement looks bad. Sometimes when you let the computer take over the movements they become robotic. I really don't think any of these animators know what in betweeners are. <br /><br />The stories are badly written, and some of the lines they give the heroes are horrible. Why, for example, when heroes are teamed together for the first time they start fighting with each other? In Secret Wars, it was a lame excuse that got them in disagreement. I can see if the hero was dark, unknown and mysterious - like the Punisher, but why the Thing and Iron Man can't hold their tempers with each other is ridiculous, then the Torch joins in. This is just another of the later comic trends to get heroes to square off at each other for a few seconds because 'everyone' wants to see that stuff. Give them a better reason to fight and maybe it can be pulled off, but ""Hey what are you doing here"" and ""You don't tell me what to do"" are LAME reasons. Another badly written scene is in The Wedding where Harry Osborne unmasks himself to spoil Peter's wedding. That whole scenario was awful.<br /><br />Last, but certainly not least, is what another critic calls Juvenile Violence - meaning no punches at all. In Secret Wars, the Lizard carefully ducked the Thing's charge. But the Thing punches the bad guys across an entire block in the comics. He must simply revert to lifting heavy things and subduing a bad guy by grabbing hold of him in the cartoons. Sure, these cartoons were not made strictly for us adults but for kids under 12. That's why they can't have punching, because mommy and daddy don't believe in that type of violence. But you can blow things up, these cartoons will include that. As a kid before political correctness came in fashion I saw cartoons punching each other. What's wrong with a punch to the chops? Is there really less violence in the world today because those slick and crafty new cartoons took out the punch? I find this the most insulting of all when I watch the new stuff. They've written out ""the punch' because we could all hurt ourselves.<br /><br />Kids, enjoy these cartoons all you want, I've seen enough.<br /><br />3/10 rating"	3511	negative
"I caught this on local Mexican television at 2:00 a.m. and I decided to give it a chance since it's based on a real life case that deals with the murder of the typical All American family (a dad, a mom, and a young son).<br /><br />On the beginning the hints point to Walker to be the murderer as he had strong differences with his father. Shortly after, when Walker and Luke are taken to the Sheriff's dept. to being examined by the lies detection machine, things turn out to be very different...<br /><br />Also, when Walker and Luke attend to an appointment with their father's lawyer, they learn that Luke would receive $200,000 and Walker is out of the heresy. Luke immediately buys a convertible.<br /><br />Anyways, this is an excellent mystery movie that deals with betrayal, ambition, feelings, and cold , very cold blood.<br /><br />I know the real names were changed but still the experience is the same. Give this movie a try. I know there are HUNDREDS of ""based on real murders"" or events of the like, but this one is truly worthy. Pure quality on acting, direction, and plot."	1089	positive
"Elia Kazan, one of the best theater directors this country ever had, showed he was equally at home with movies. With ""Panic in the Streets"", Mr. Kazan gives us an early version of what would come later, with perhaps his master piece, ""On the Waterfront"", although both movies share only the water setting, for they are different visions about different subjects.<br /><br />Mr. Kazan shot on location in New Orleans. The adaptation by Daniel Fuchs of the Edna and Edward Anhalt stories that are the basis of the film, is remarkable in that it takes us to places that no tourist dared to see when visiting ""The Big Easy"". One of the big assets of this film is the magnificent black and white cinematography by Joseph MacDonald that shows New Orleans at its best. Also the music by Alfred Newman and the song by Billie Holiday gives the proceedings a nice touch.<br /><br />This film, could have been shot in New York, or another Northern big city because it presents us with characters that speak more like ""broklynese"" than maybe a Southern accent one might hear in that part of the country.<br /><br />One thing comes clear in the movie, Jack Palance, making his screen debut, smolders the screen every time one sees him. He was so intense! At the same time, this tough guy shows a tender side of him when he goes to see his sick partner, who unknown to him, is stricken with a fatal disease. Blackie, comforts this man caressing his sweaty face and running his hands through the dying man's greasy hair with abandon. Notable also, was the fact that Mr. Palance and Mr. Mostel appear to have been doing their own stunts, something so refreshing because both actors make it seem real.<br /><br />The film also presents a normal side with the introduction of the Reed family at the beginning of the film. We see a family man painting furniture with his young son. Later he and the wife discuss how it appears they can't make ends meet with his salary, something that many families have to deal with on a daily basis. Richard Widmark, playing a normal person is not as effective as when this actor plays more cunning and intense people. Barbara Bel Geddes, as the wife, sounds as though she's a suburban woman from Connecticut.<br /><br />The film is enjoyable thanks to Mr. Kazan's direction and the excellent cast working in the movie."	2335	positive
This is a great premise for a movie. The overall plot is very original,interesting, and something to think about. However poor production, an obviously small budget, crapy acting from the main character, and several side actors really detract from this would be classic. An up and coming producer should try to resurect this story and give this basicly half hearted atempt a proper release.	390	negative
It is amazing what you can see if you wake at 2 am and turn on the telly. I didn't know they showed films like this. I immediately thought of Roger Corman, who reused locations for movies or used other films locations for his own movies.<br /><br />The makes of this film could just move the camera angles and add some time and they would have an XXX film.<br /><br />There was no story, just minimum dialog that led to stripping and sex. I bet there wasn't 100 words in the whole film, but there sure was a lot of very large busts and hot lesbian action. There was male/female action too, but it was only about 25% of the movie.<br /><br />Another interesting thing came to mind in watching this film that may interest those who are buying hi def DVDs. Sony refused to license Betamax to adult film makers and adult films came out on VHS. You can guess what happened to beta max as the adult film industry makes millions of videos. Sony has again refused to license Blu-ray to the adult film industry and they have just signed a deal with Toshiba. You can guess which high def system will disappear.	1100	negative
"""Ghost Son"" is Lamberto Bava's best film and, at the same time, also his worst. I suppose that statement requires some slight clarification. It's his best because it's well directed, ambitious, accessible and very stylish, but his worst because it's a dull, unoriginal movie and undeniably a huge letdown to all the real fans of Bava's past efforts. Let's face it: many fans, myself certainly included, wouldn't have been interested in this film judging by the plot, the famous names attached to it and even the boring sounding title. The only motivation here was Lamberto Bava, who brought us large amounts of convoluted Gialli and fun splatter films in the past. ""Ghost Son"" is a bit of his comeback film, alongside ""The Torturer"", and although the latter definitely isn't a good film, it at least lives up to his fans' lines of expectations, with excessive amounts of sleaze, blood and sadism. ""Ghost Son"" is a weak and intolerably soft horror film, even talking in terms of mainstream ghost stories. The emphasis lies too much on sentimentality, and this badly affects the already limited number of horrific & creepily atmospheric moments. The basic premise might feature one or two potentially good ideas, but the film is overall dull and far too clichéd. John Hannah and Laura Harring star as a happy couple, living on a remote ranch in South Africa and breeding horses for a living. The joy and happiness couldn't possibly improve, so naturally something tragic is bound to happen, and it does. Mark dies in a car accident, but the inconsolable Stacey remains at the ranch where she's in constant contact with Mark's spirit. She even gets pregnant with his child, but shortly after baby Martin's birth mysterious events begin to occur. It seems as if Mark's restless and selfish ghost 'possessed' the baby and uses him to encourage Stacy into committing suicide. With all the focus on the couple's relationship, many of the events and sub plots are underdeveloped and/or remains unexplained, like the whole background of the youthful maid Thandi. There's too little action and the only real fright-moments are too obviously borrowed from classic films such as ""The Exorcist"" and ""Rosemary's Baby"" (vomiting green goo, self moving furniture). Purely talking in terms of horrific entertainment ""Ghost Son"" is a painful misfire, but it has to be said, it's a beautiful and enchanting looking failure. The cinematography is extremely elegant and many camera angles are truly inventive and suggestive. The moody score sometimes even manages to create an ominous atmosphere even though there's nothing of any significance happening on screen. There are several beautiful images of the South African wildlife to admire but, if that interests you, I suppose you're better off watching National Geographic instead. Not much to recommend here. Fans of atmosphere-driven ghost stories have much better options to choose from and die-hard Bava fanatics are advised to (re-)watch ""Demons"", ""Macabre"" or ""Blade in the Dark""."	3020	negative
I saw this when I was 17 and haven't seen it since. The 'CBS Late Movie' used to show it on a regular basis at one point. I remember how sad and upsetting it was, it truly made me sick to my stomach. Effects then weren't what they are today, but nevertheless, it conveyed the feeling of being alone in the Amazon, after losing both parents and searching for a way out, very well. I remember the bugs and maggots the most, so realistic they were, eating her flesh. It's a dark film which was controversial subject matter at the time, even though likely it was strongly edited for TV. I wish I remembered more details, and if I ever get the chance to see it again, I can comment more. I have been looking for this for years. I believe it may have been shown on CBS under yet another title. I have no idea whether it was ever released on video.	841	positive
Some people have made a point of dissing this movie because they question the plausibility of black people in the Old West, Asian people in the Old West or women with guns in the Old West period. Get a grip and read a book. There were quite a few Asians (Chinese), there were quite a few blacks (freedmen) and everybody outside of the gentile class had ready access to guns; it is the second amendment you know. And as far as the use of modern language goes, none of those Westerns people have waxed nostalgic about actually used language that was consistent with the era depicted. Americans had different accents, used different inflections, spoke at a very different pace and used plenty of words and phrases that would be unrecognizable today. Don't blame historical inaccuracy for the fact that you just didn't dig it. Be honest. Maybe you're just uncomfortable with what you're seeing.	890	negative
I looked forward to watching this film since I loved the David Lynch version. In my first attempt at watching it I fell asleep. Nothing was happening. The next night I tried to watch the rest, and again it was putting me to sleep! Nothing ever happened in this movie that could keep anyone's interest alive. The only time it got a bit more exciting was when I tried it on Fast Forward! The DVD came with a second disk which contained bonus material. Needless to say, I had no hard to go through the torture of watching more of Dune (2000). Here are the low points: The acting was bad, the plot moved in slow motion, the sets were and looked cheap, the direction was pathetic, and the CGI visual effects childish.<br /><br />If you want to watch Dune, save your money or rent the 1984 version.	792	negative
"My Take: Makes use of its familiar plot with fine performances and a few genuine moments of excitement. <br /><br />The plot is familiar. An innocent man is framed for a plot to assassinate the President of the United States, the first traitor in the United States Secret Service. As his fellow secret-service agents pursue him, he tries to prove his innocence. Of course we know his innocent, and the real culprit is just around the corner, but I was still entertained by THE SENTINEL. In this time where thrillers are reduced to being too ludicrous and too abundant in action sequences, THE SENTINEL is a good lick-back to all those good old-fashioned political crime thriller. The familiar plot is elevated by neat thrilling sequences and terrific performances.<br /><br />Michael Douglas, the perfect man for the job, is long-running Secret Service agent Pete Garrison, who is framed for being part of a plot to assassinate the President. Former colleagues in the secret service (Kiefer Sutherland and Eva Longoria) pursue Harrison while he tries to find out who is behind the possible assassination and the traitor in the Secret Service. This leads to a lot of chase scenes that, surprisingly (and thankfully), are never unbelievable. The screenplay also offers a subplot involving Garrison having an affair with the First Lady (played by Kim Basinger). This thankfully wasn't unnecessary like most subplots are to these kinds of films.<br /><br />The films director is Clark Johnson (S.W.A.T.) who manages to make the film look good. Although many have criticized it as ""should have been a TV movie"", I must disagree. Agreed, this is not a perfect film, and much of it is inspired from other action thrillers and political intrigues like IN THE LINE OF FIRE or an episode from the TV series 24 (which this film closely resembles when it comes to style and star Sutherland), but even so, this film takes its plot into serious heights and doesn't abandon even its smaller details. The performances are terrific (with a top-notch cast, its bound to be, even with the by-the-numbers script.<br /><br />All-in-all, I award it ***1/2, not perfect, but not far from it.<br /><br />Rating: ***1/2 out of 5."	2204	positive
